Motion,SSIM,Brightness
0.7439,0.6775,123.74
0.7476,0.6775,121.71
0.7554,0.6775,127.84
0.7328,0.6775,123.59
0.7599,0.6775,119.27
0.8802,0.6775,123.52
0.8639,0.4838,128.88
0.7442,0.4838,125.31
0.7868,0.4838,123.83
0.7395,0.4838,122.85
0.7656,0.4838,121.85
0.7993,0.4838,122.15
0.745,0.5469,123.04
0.785,0.5469,123.25
0.7871,0.5469,124.83
0.7416,0.5469,124.8
0.7509,0.5469,123.88
0.7394,0.5469,123.03
0.7542,0.5298,123.23
0.7396,0.5298,123.0
0.7473,0.5298,123.14
0.7496,0.5298,126.89
0.792,0.5298,126.52
0.759,0.5298,126.89
0.7689,0.4408,126.68
0.8001,0.4408,126.69
0.7818,0.4408,126.62
0.7512,0.4408,125.75
0.7664,0.4408,125.98
0.7896,0.4408,126.35
0.7581,0.5338,126.15
0.4616,0.5338,126.34
0.8013,0.5338,125.97
0.7817,0.5338,125.72
0.7713,0.5338,124.18
0.8055,0.5338,122.45
0.7944,0.5821,124.38
0.7821,0.5821,125.03
0.7425,0.5821,125.12
0.7943,0.5821,124.85
0.6637,0.5821,125.12
0.7864,0.5821,125.7
0.8135,0.4917,126.98
0.8343,0.4917,131.01
0.7675,0.4917,162.18
0.4955,0.4917,181.64
0.3766,0.4917,130.12
0.1536,0.4917,106.17
0.0493,0.4894,106.18
0.0168,0.4894,106.15
0.0999,0.4894,105.99
0.1003,0.4894,106.07
0.0373,0.4894,106.11
0.1063,0.4894,106.01
0.022,0.9071,106.02
0.1032,0.9071,106.11
0.1123,0.9071,105.98
0.0356,0.9071,105.97
0.117,0.9071,106.07
0.1367,0.9071,105.55
0.1248,0.8798,105.33
0.1126,0.8798,105.46
0.1199,0.8798,105.29
0.052,0.8798,121.08
0.1136,0.8798,121.25
0.1328,0.8798,105.31
0.0847,0.9123,116.65
0.2172,0.9123,145.33
0.1615,0.9123,146.53
0.2496,0.9123,106.06
0.1819,0.9123,105.88
0.2226,0.9123,105.07
0.2021,0.8335,105.41
0.1398,0.8335,105.77
0.1277,0.8335,105.58
0.1144,0.8335,105.51
0.061,0.8335,105.45
0.1212,0.8335,105.24
0.1181,0.8781,105.22
0.0578,0.8781,105.26
0.0838,0.8781,105.16
0.1022,0.8781,105.28
0.0929,0.8781,105.35
0.0148,0.8781,105.38
0.1228,0.9267,105.16
0.0728,0.9267,105.27
0.0333,0.9267,105.27
0.1174,0.9267,105.02
0.0951,0.9267,105.15
0.1047,0.9267,105.28
0.1187,0.9009,105.03
0.1119,0.9009,105.2
0.0652,0.9009,105.27
0.1215,0.9009,104.93
0.0407,0.9009,105.03
0.0914,0.9009,105.13
0.1152,0.8974,104.96
0.0791,0.8974,104.91
0.1073,0.8974,105.0
0.0864,0.8974,104.95
0.0504,0.8974,104.92
0.1073,0.8974,105.03
0.0332,0.9324,104.98
0.1166,0.9324,104.82
0.1118,0.9324,104.94
0.0294,0.9324,105.0
0.1168,0.9324,104.84
0.1041,0.9324,104.82
0.1006,0.9015,104.91
0.1123,0.9015,104.73
0.1007,0.9015,104.84
0.0764,0.9015,104.89
0.0467,0.9015,104.81
0.051,0.9015,104.88
0.0853,0.9255,104.93
0.1133,0.9255,104.84
0.0155,0.9255,104.84
0.1074,0.9255,104.95
0.1208,0.9255,104.76
0.0597,0.9255,104.78
0.1129,0.935,104.96
0.1443,0.935,105.53
0.6144,0.935,110.12
0.8289,0.935,112.45
0.8068,0.935,129.91
0.5866,0.935,131.53
0.6687,0.5159,131.88
0.5168,0.5159,132.14
0.6258,0.5159,131.45
0.6394,0.5159,130.75
0.5958,0.5159,130.64
0.6348,0.5159,130.41
0.6133,0.5492,129.81
0.6555,0.5492,128.34
0.5903,0.5492,127.68
0.7133,0.5492,127.43
0.5917,0.5492,128.06
0.5524,0.5492,129.1
0.5756,0.5513,131.62
0.7818,0.5513,141.02
0.5066,0.5513,130.42
0.0693,0.5513,134.19
0.0758,0.5513,129.56
0.1392,0.5513,136.86
0.1748,0.6661,130.65
0.2711,0.6661,125.86
0.4058,0.6661,125.14
0.7229,0.6661,123.12
0.8851,0.6661,122.13
0.7931,0.6661,140.18
0.7131,0.6666,140.31
0.624,0.6666,140.22
0.6417,0.6666,140.0
0.5201,0.6666,26.43
0.0005,0.6666,52.91
0.0089,0.6666,53.06
0.0101,0.4882,51.56
0.0077,0.4882,53.5
0.009,0.4882,55.02
0.0072,0.4882,57.39
0.0097,0.4882,61.5
0.0082,0.4882,65.2
0.0051,0.8504,69.33
0.4048,0.8504,171.99
0.475,0.8504,156.13
0.4731,0.8504,22.03
